ORDER,ZIP,TOTAL,R_0_17,R_18_29,R_30_39,R_40_49,R_50_64,R_65_74,R_75_84,R_85_UP
323,92586,19472,2658,1727,1646,1289,4366,3315,3229,1242
324,95610,46305,9533,8540,7399,4800,9018,4209,1888,918
325,94535,3842,1540,1213,753,177,159,0,0,0
326,90680,30531,7684,4891,4604,4330,5204,2235,1097,486
327,90010,3822,393,959,726,353,691,404,218,78
328,93620,8906,2460,1819,963,1114,1403,656,408,83
329,90250,97072,24763,18111,15329,13483,16562,5503,2408,913
330,91744,85421,20302,17182,10768,11065,15962,6196,2725,1221
331,91352,47076,10746,9195,6152,6328,8751,3620,1611,673
332,93239,1246,393,180,257,97,225,64,30,0
333,94589,31536,7614,5248,4554,3529,5685,2852,1345,709
334,92278,4890,732,3529,438,191,0,0,0,0
335,92124,32600,9627,5413,6130,3575,4411,2351,818,275
336,91752,35694,9574,6275,5487,4536,5782,2674,966,400
337,90013,12559,405,2326,2884,2169,3145,944,444,242
338,95457,3227,646,181,326,201,846,664,315,48
339,92805,74478,20140,15912,11436,10033,11515,3725,1103,614
340,95841,21229,4667,4436,3306,2719,3299,1679,791,332
341,90047,51411,11165,8499,7203,6422,10093,4362,2739,928
342,95257,407,53,47,60,0,148,20,38,41
343,90716,14285,3883,2813,1943,2143,2050,831,529,93
344,90301,38234,9144,7092,5274,5105,7025,2743,1259,592
345,90021,2945,333,454,775,588,531,113,73,78
346,95652,789,264,120,92,149,36,65,49,14
347,90723,54513,15558,10732,7491,7857,8196,2772,1437,470
348,96007,23228,5109,3069,3392,2392,4765,2808,1260,433
349,92056,52337,10326,8485,7445,5363,10353,5405,3366,1594
350,95360,13278,3925,1768,2328,1553,2062,960,501,181
351,95367,25072,7110,4250,4124,3256,3616,1526,873,317
352,93036,48162,13258,9415,6569,6999,7579,2509,1241,592
353,95112,62228,10300,19734,9583,7321,9364,3825,1451,650
354,94612,15785,1219,3512,3834,1692,2403,1627,885,613
355,95514,140,35,0,79,0,6,16,2,2
356,92114,68851,15323,13500,9306,8549,12551,5869,3033,720
357,93906,64348,18550,11534,10100,8048,10033,3654,1541,888
358,95039,1074,321,166,147,172,121,107,37,3
359,95357,11765,3082,1902,1423,1669,2306,809,399,175
360,93267,6788,2187,924,682,935,1170,434,259,197
361,90242,42694,10139,8786,6150,5334,7770,2869,1064,582
362,93552,39905,12155,7005,4658,5266,7413,2189,914,305
363,92308,42207,11621,5492,4213,4721,8703,4332,2307,818
364,92804,89915,21023,17687,12246,11390,15749,6430,3574,1816
365,92505,53282,13174,12187,7425,7091,8247,2920,1524,714
366,93636,13255,3328,1732,1092,1691,2909,1756,556,191
367,94608,31013,3686,6607,8194,4384,4764,2190,755,433
368,90027,44770,5282,8354,10225,6524,7884,3702,1892,907
369,94606,38220,6199,7213,7897,5219,6798,2926,1364,604
370,92055,11765,262,11228,105,170,0,0,0,0
371,92054,41807,9298,8118,7193,4710,7489,3115,1411,473
372,93436,56323,14541,10005,7289,7189,10132,3752,2428,987
373,91935,8550,1543,898,1070,866,2231,1422,436,84
374,92027,56788,13811,10501,8417,6763,10839,3598,1897,962
375,93286,9906,3327,1782,1057,925,1512,746,441,116
376,95670,55558,12431,9295,8366,7122,10001,4730,2657,956
377,95943,871,236,148,78,86,203,74,29,17
378,92683,91105,18327,13869,11247,13188,18802,8053,5697,1922
379,91706,76930,18224,14856,10460,10321,13674,5877,2563,955
380,92078,50510,12662,7072,6728,7569,8034,4679,2347,1419
381,94704,29597,943,21771,2296,1094,1966,1021,359,147
382,93518,814,116,55,59,84,186,187,116,11
383,93630,20764,6831,3952,2852,2518,2747,1197,548,119
384,93927,18812,6658,3661,2646,1988,2627,886,246,100
385,91342,94595,23809,16371,13220,12711,16902,6953,3451,1178
386,95521,21068,2457,8849,2391,2015,2747,1897,386,326
387,96003,44328,8900,7429,5354,3961,9512,5552,2432,1188
388,92833,52435,12186,8722,7015,7177,10384,4080,2145,726
389,92841,33754,7278,6076,3779,4795,6896,3077,1319,534
390,92707,60831,15122,13292,9479,7499,10254,3254,1503,428
391,92110,30108,4455,9248,4577,3269,4819,2104,1016,620
392,91730,72407,17416,14496,11434,8816,13018,4749,1784,694
393,93505,13774,2879,2661,2280,1633,2718,1088,436,79
394,92332,97,0,0,41,0,56,0,0,0
395,95336,47855,12029,7371,5929,5906,9167,4097,2461,895
396,94603,35862,10162,7167,5453,4583,5499,1733,846,419
397,91755,26803,4186,3560,3506,3380,6542,2707,1851,1071
398,91356,29822,5530,3889,4174,3778,6367,3235,1860,989
399,95973,36682,8281,6944,4953,4491,6432,3287,1655,639
400,92626,50605,9160,10609,9135,6060,9383,3506,1827,925
401,90032,48031,10506,10211,6751,6456,7513,3614,1878,1102
402,91601,36841,4610,9568,8629,4539,5819,2079,1154,443
403,92627,63161,14074,11505,11110,9856,9974,3891,1625,1126
404,93656,5806,1550,1066,799,649,923,503,247,69
405,94565,97671,24943,17936,14789,12853,17245,6524,2598,783
406,94801,31210,8179,5905,4950,4010,4825,2236,834,271
407,91201,23281,3902,3441,3363,3018,5450,2169,1403,535
408,93591,6744,2105,1142,731,710,1404,402,213,37
409,95303,1110,263,212,87,220,217,56,29,26
410,91906,4428,1461,817,460,457,742,378,48,65
411,93249,1875,672,471,287,227,180,31,7,0
412,94534,39239,8883,5055,4913,5825,8396,3943,1369,855
413,91786,53697,12187,10424,7417,7151,9702,3709,2155,952
414,96080,29139,7144,4134,2897,3208,5835,3390,1788,743
415,92154,88979,20340,17285,12891,11990,15693,6620,2973,1187
416,96113,1925,186,453,637,347,174,83,39,6
417,92256,3100,522,274,373,372,937,411,159,52
418,92276,6748,1301,945,687,330,1645,882,581,377
419,95916,1359,173,155,132,122,387,269,87,34
420,96002,34196,8379,5060,4526,3842,6280,2929,2317,863
421,91942,40151,7699,7776,7124,4470,7058,3018,1779,1227
422,91306,49678,10775,9349,7129,6620,9545,3678,1612,970
423,93207,256,43,20,15,15,72,71,16,4
424,95818,21625,4511,2960,3562,2624,4493,2035,946,494
425,90024,51627,4176,29223,4750,2638,5007,2552,1748,1533
426,93924,6514,1200,592,224,845,1712,1358,456,127
427,92373,33353,7096,5333,4532,3571,6568,3279,2008,966
428,93313,55221,17224,10574,8407,6813,7534,2808,1478,383
429,92284,26182,6048,3285,2991,3297,5407,3142,1245,767
430,91803,29567,5305,4632,3943,4079,6082,3020,1582,924
431,93043,144,59,36,36,8,5,0,0,0
432,95602,17557,2642,2029,1361,1416,5058,2887,1347,817
433,90620,46414,9623,7739,6861,5687,9396,4245,1859,1004
434,95832,12114,3584,2542,1545,1346,1706,1057,286,48
435,90042,63193,12097,11417,12417,8510,11514,4099,2190,949
436,91324,29670,5132,6339,3960,3742,5592,2402,1666,837
437,92802,42016,10464,8040,6227,5608,6861,2594,1527,695
438,92647,62199,13560,11370,8993,8006,11773,4735,2590,1172
439,93926,9171,2923,1567,1429,1308,1245,349,224,126
440,91745,55202,10626,8864,6145,7443,11694,5766,3246,1418
441,94541,65928,14648,10106,11878,8805,12407,4562,2226,1296
442,92028,48173,10716,7065,6261,4818,9318,5515,2948,1532
443,92336,98346,27570,17653,14899,15212,14909,5326,2340,437
444,94804,40931,9409,7242,6837,5717,6864,3010,1265,587
445,95247,4024,696,364,369,393,718,830,464,190
446,95322,10373,2877,1508,1398,1473,1798,848,297,174
447,91702,62066,13392,16939,7831,7513,10277,3683,1827,604
448,96122,3266,741,243,516,350,771,485,109,51
449,95837,300,35,17,4,123,93,20,2,6
450,93268,18731,5998,3441,1969,2510,2819,1242,450,302
451,92567,10648,3025,2118,1398,1134,1720,759,402,92
452,95546,3466,1031,664,412,227,709,279,123,21
453,94133,26796,2606,4488,5376,3446,4842,2889,1771,1378
454,96097,9746,2312,1369,1254,819,1867,1260,686,179
455,92363,5348,1435,643,462,742,959,761,273,73
456,91932,26492,6489,5044,4539,2867,4451,1832,928,342
457,92561,1462,183,113,131,108,486,298,118,25
458,93609,5177,1366,874,648,779,690,489,227,104
459,92281,2591,890,533,204,247,367,219,74,57
